Start Timestamp,,,,End Timestamp,,,,,,Reason Code,,,,,,,,,Time (Fmt),,
7/26/2022 8:39:25 AM,,,,07/26/2022 08:43:03 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:38,,
7/26/2022 8:44:34 AM,,,,07/26/2022 08:47:33 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:59,,
7/26/2022 8:49:01 AM,,,,07/26/2022 08:52:22 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:21,,
7/26/2022 8:56:12 AM,,,,07/26/2022 08:59:26 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:14,,
7/26/2022 9:03:41 AM,,,,07/26/2022 09:06:05 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:24,,
7/26/2022 9:25:41 AM,,,,07/26/2022 09:27:32 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:51,,
7/26/2022 9:44:47 AM,,,,07/26/2022 09:48:42 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:55,,
7/26/2022 9:49:56 AM,,,,07/26/2022 09:53:39 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:43,,
7/26/2022 9:55:24 AM,,,,07/26/2022 10:00:08 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:04:44,,
7/26/2022 10:01:27 AM,,,,07/26/2022 10:04:13 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:46,,
7/26/2022 10:06:06 AM,,,,07/26/2022 10:13:41 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:07:35,,
7/26/2022 10:16:05 AM,,,,07/26/2022 10:17:29 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:01:24,,
7/26/2022 10:18:33 AM,,,,07/26/2022 10:21:30 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:57,,
7/26/2022 10:22:41 AM,,,,07/26/2022 10:29:52 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:07:11,,
7/26/2022 10:33:01 AM,,,,07/26/2022 10:35:14 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:13,,
7/26/2022 10:36:38 AM,,,,07/26/2022 10:39:23 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:02:45,,
7/26/2022 10:45:46 AM,,,,07/26/2022 10:49:21 AM,,,,,,ReasonCodeDescription=AfterCallWrapup,,,,,,,,,00:03:35,,
